Entry Time,Exit Time,Duration (min),Direction,Entry Price,Exit Price,Return (%)
2025-03-06 15:00:00,2025-03-06 15:45:00,45.0,long,233.7935,235.25,0.62%
2025-03-11 14:02:00,2025-03-11 14:01:00,-1.0,long,225.15,225.37,0.10%
2025-03-11 14:03:00,2025-03-11 14:01:00,-2.0,short,225.29,225.37,-0.04%
2025-03-12 14:20:00,2025-03-12 14:35:00,15.0,short,221.35,220.39,0.43%
2025-03-12 14:37:00,2025-03-12 15:35:00,58.0,long,220.7305,218.33,-1.09%
2025-03-12 15:37:00,2025-03-12 15:41:00,4.0,short,217.855,217.53,0.15%
2025-03-12 15:43:00,2025-03-12 15:46:00,3.0,long,217.3,216.955,-0.16%
2025-03-18 11:52:00,2025-03-18 12:00:00,8.0,short,213.69,213.87,-0.08%
2025-03-18 12:03:00,2025-03-18 12:03:00,0.0,long,213.84,213.84,0.00%
2025-03-20 12:51:00,2025-03-20 13:08:00,17.0,long,214.78,214.67,-0.05%
2025-03-24 15:38:00,2025-03-24 15:52:00,14.0,long,219.725,220.07,0.16%
2025-03-25 14:53:00,2025-03-25 15:01:00,8.0,long,222.03,222.45,0.19%
2025-03-28 12:48:00,2025-03-28 13:46:00,58.0,short,222.23,221.9,0.15%
2025-04-01 14:49:00,2025-04-01 15:01:00,12.0,long,219.9,220.29,0.18%
2025-04-08 13:28:00,2025-04-08 14:12:00,44.0,short,183.65,186.0,-1.28%
2025-04-08 14:14:00,2025-04-08 14:37:00,23.0,long,185.79,185.4999,-0.16%
2025-04-09 10:09:00,2025-04-09 10:16:00,7.0,short,174.55,174.93,-0.22%
2025-04-09 10:18:00,2025-04-09 10:41:00,23.0,long,175.21,175.2,-0.01%
2025-04-09 15:44:00,2025-04-09 15:53:00,9.0,long,177.01,177.5525,0.31%
2025-04-10 14:27:00,2025-04-10 15:02:00,35.0,short,191.85,190.4252,0.74%
2025-04-14 14:36:00,2025-04-14 15:13:00,37.0,long,211.3,210.13,-0.55%
2025-04-14 15:15:00,2025-04-14 15:43:00,28.0,short,210.5,206.73,1.79%
2025-04-22 14:38:00,2025-04-22 15:20:00,42.0,long,194.58,194.94,0.19%
2025-04-24 13:56:00,2025-04-24 14:22:00,26.0,short,203.56,204.18,-0.30%
2025-04-24 14:24:00,2025-04-24 15:00:00,36.0,long,204.21,204.45,0.12%
2025-04-25 10:33:00,2025-04-25 11:18:00,45.0,long,207.98,207.19,-0.38%
2025-05-02 13:06:00,2025-05-02 13:42:00,36.0,short,207.02,205.99,0.50%
2025-05-02 13:44:00,2025-05-02 13:53:00,9.0,long,206.1,206.22,0.06%
2025-05-02 13:55:00,2025-05-02 14:26:00,31.0,short,206.22,205.91,0.15%
2025-05-02 14:28:00,2025-05-02 14:27:00,-1.0,long,206.18,205.99,-0.09%
2025-05-05 10:00:00,2025-05-05 10:49:00,49.0,short,205.0,203.52,0.72%
2025-05-15 13:17:00,2025-05-15 14:00:00,43.0,short,210.14,209.75,0.19%
2025-05-21 11:03:00,2025-05-21 11:23:00,20.0,short,206.03,206.09,-0.03%
2025-05-22 14:03:00,2025-05-22 14:47:00,44.0,short,201.1936,201.17,0.01%
2025-05-22 14:49:00,2025-05-22 15:01:00,12.0,long,201.3511,201.57,0.11%
2025-05-23 10:00:00,2025-05-23 10:00:00,0.0,long,201.74,201.74,0.00%
2025-05-27 15:01:00,2025-05-27 15:41:00,40.0,short,198.5028,198.2515,0.13%
2025-05-29 13:33:00,2025-05-29 13:45:00,12.0,long,204.84,205.2,0.18%
2025-05-30 11:04:00,2025-05-30 11:17:00,13.0,long,200.15,200.1,-0.02%
2025-06-05 15:55:00,2025-06-05 15:54:00,-1.0,long,202.46,202.55,0.04%
