Entry Time,Exit Time,Duration (min),Direction,Entry Price,Exit Price,Return (%)
2025-03-11 10:59:00,2025-03-11 11:12:00,13.0,long,195.52,195.08,-0.23%
2025-03-13 12:31:00,2025-03-13 13:01:00,30.0,short,198.42,198.62,-0.10%
2025-03-28 11:47:00,2025-03-28 12:00:00,13.0,long,200.49,200.22,-0.13%
2025-04-08 15:02:00,2025-04-08 15:40:00,38.0,long,183.08,181.41,-0.91%
2025-04-10 15:20:00,2025-04-10 15:51:00,31.0,short,185.8492,185.97,-0.06%
2025-04-22 12:26:00,2025-04-22 12:50:00,24.0,long,169.35,169.18,-0.10%
2025-04-22 12:53:00,2025-04-22 13:46:00,53.0,short,169.21,168.7,0.30%
2025-04-23 11:04:00,2025-04-23 12:01:00,57.0,short,180.35,180.52,-0.09%
2025-04-25 11:09:00,2025-04-25 11:11:00,2.0,short,189.14,188.91,0.12%
2025-04-29 10:18:00,2025-04-29 11:21:00,63.0,short,188.4,188.62,-0.12%
2025-04-29 11:25:00,2025-04-29 11:46:00,21.0,long,188.6,188.6,0.00%
2025-04-29 11:46:00,2025-04-29 11:46:00,0.0,short,188.6,188.6,-0.00%
2025-04-29 11:46:00,2025-04-29 12:00:00,14.0,long,188.6,188.42,-0.10%
2025-04-29 12:02:00,2025-04-29 12:49:00,47.0,short,188.38,187.09,0.68%
2025-04-29 12:50:00,2025-04-29 13:06:00,16.0,long,187.28,187.5,0.12%
2025-04-30 12:56:00,2025-04-30 13:03:00,7.0,short,186.0,186.45,-0.24%
2025-04-30 13:05:00,2025-04-30 13:30:00,25.0,long,186.71,186.07,-0.34%
2025-05-01 15:12:00,2025-05-01 16:00:00,48.0,long,190.65,187.62,-1.59%
2025-05-02 12:42:00,2025-05-02 13:04:00,22.0,long,187.51,188.84,0.71%
2025-05-02 13:06:00,2025-05-02 13:53:00,47.0,short,188.82,188.62,0.11%
2025-05-07 10:02:00,2025-05-07 11:02:00,60.0,long,187.44,187.12,-0.17%
2025-05-07 11:02:00,2025-05-07 11:35:00,33.0,short,187.12,186.65,0.25%
2025-05-08 14:02:00,2025-05-08 15:01:00,59.0,short,191.82,191.57,0.13%
2025-05-08 15:03:00,2025-05-08 16:00:00,57.0,long,191.6,190.175,-0.74%
2025-05-09 13:31:00,2025-05-09 13:33:00,2.0,short,192.43,192.0,0.22%
2025-05-27 10:00:00,2025-05-27 11:01:00,61.0,short,204.55,204.81,-0.13%
2025-05-29 15:08:00,2025-05-29 15:28:00,20.0,long,208.23,208.02,-0.10%
2025-05-29 15:30:00,2025-05-29 15:48:00,18.0,short,208.025,206.925,0.53%
2025-06-17 10:00:00,2025-06-17 10:16:00,16.0,long,214.06,214.7,0.30%
