Entry Time,Exit Time,Duration (min),Direction,Entry Price,Exit Price,Return (%)
2025-03-14 14:05:00,2025-03-14 14:05:00,0.0,long,912.0,912.0,0.00%
2025-03-31 15:30:00,2025-03-31 15:30:00,0.0,long,933.6,933.6,0.00%
2025-04-02 14:28:00,2025-04-02 14:28:00,0.0,short,934.52,934.52,-0.00%
2025-04-08 14:00:00,2025-04-08 15:17:00,77.0,short,837.26,853.0,-1.88%
2025-04-11 13:00:00,2025-04-11 13:00:00,0.0,long,876.45,876.45,0.00%
2025-04-11 13:00:00,2025-04-11 13:00:00,0.0,short,876.45,876.45,-0.00%
2025-04-11 13:00:00,2025-04-11 13:00:00,0.0,long,876.45,876.45,0.00%
2025-04-11 13:00:00,2025-04-11 13:00:00,0.0,short,876.45,876.45,-0.00%
2025-05-13 15:30:00,2025-05-13 15:30:00,0.0,short,959.89,959.89,-0.00%
2025-06-02 15:30:00,2025-06-02 15:30:00,0.0,long,975.71,975.71,0.00%
