Entry Time,Exit Time,Duration (min),Direction,Entry Price,Exit Price,Return (%)
2025-03-04 13:02:00,2025-03-04 13:21:00,19.0,long,167.06,166.58,-0.29%
2025-03-05 14:21:00,2025-03-05 14:35:00,14.0,short,171.48,171.41,0.04%
2025-03-11 11:40:00,2025-03-11 12:00:00,20.0,long,166.3,166.31,0.01%
2025-03-13 12:36:00,2025-03-13 12:40:00,4.0,short,166.41,166.17,0.14%
2025-03-17 10:41:00,2025-03-17 11:03:00,22.0,short,164.82,164.71,0.07%
2025-03-18 10:07:00,2025-03-18 10:07:00,0.0,long,164.48,164.48,0.00%
2025-03-18 13:46:00,2025-03-18 13:45:00,-1.0,long,164.32,164.39,0.04%
2025-03-18 13:47:00,2025-03-18 13:49:00,2.0,short,164.25,164.15,0.06%
2025-03-18 13:51:00,2025-03-18 14:04:00,13.0,long,164.23,163.92,-0.19%
2025-03-18 14:06:00,2025-03-18 14:07:00,1.0,short,163.83,163.86,-0.02%
2025-03-18 14:09:00,2025-03-18 14:43:00,34.0,long,164.0,162.49,-0.92%
2025-03-18 14:45:00,2025-03-18 15:33:00,48.0,short,161.325,156.86,2.77%
2025-03-19 14:04:00,2025-03-19 15:01:00,57.0,short,161.31,162.05,-0.46%
2025-03-19 15:03:00,2025-03-19 15:30:00,27.0,long,162.3676,161.8,-0.35%
2025-03-26 12:38:00,2025-03-26 13:27:00,49.0,long,169.72,169.29,-0.25%
2025-03-27 13:50:00,2025-03-27 13:54:00,4.0,long,165.17,165.1989,0.02%
2025-03-28 11:02:00,2025-03-28 11:41:00,39.0,long,161.79,162.21,0.26%
2025-04-08 13:13:00,2025-04-08 14:03:00,50.0,long,148.99,150.68,1.13%
2025-04-09 10:22:00,2025-04-09 11:19:00,57.0,long,144.7,145.46,0.53%
2025-04-09 12:44:00,2025-04-09 13:30:00,46.0,short,144.1,143.81,0.20%
2025-04-09 14:39:00,2025-04-09 14:47:00,8.0,long,142.65,143.35,0.49%
2025-04-09 14:49:00,2025-04-09 15:20:00,31.0,short,143.71,145.11,-0.97%
2025-04-10 10:32:00,2025-04-10 11:25:00,53.0,long,155.45,155.01,-0.28%
2025-04-15 14:46:00,2025-04-15 15:31:00,45.0,short,159.51,158.74,0.48%
2025-04-16 10:34:00,2025-04-16 11:00:00,26.0,short,154.25,154.06,0.12%
2025-04-16 11:02:00,2025-04-16 11:38:00,36.0,long,154.03,153.77,-0.17%
2025-04-16 13:18:00,2025-04-16 13:32:00,14.0,long,152.94,153.25,0.20%
2025-04-23 11:51:00,2025-04-23 12:33:00,42.0,long,154.91,155.26,0.23%
2025-04-23 12:33:00,2025-04-23 13:11:00,38.0,short,155.26,155.21,0.03%
2025-04-23 15:03:00,2025-04-23 15:49:00,46.0,long,155.39,156.59,0.77%
2025-04-24 14:40:00,2025-04-24 15:09:00,29.0,short,155.62,155.23,0.25%
2025-04-24 15:11:00,2025-04-24 15:15:00,4.0,long,155.39,155.39,0.00%
2025-04-25 10:29:00,2025-04-25 11:10:00,41.0,short,168.59,167.9,0.41%
2025-04-25 11:12:00,2025-04-25 11:18:00,6.0,long,167.77,167.8,0.02%
2025-04-25 11:20:00,2025-04-25 11:25:00,5.0,short,168.0,168.1,-0.06%
2025-04-25 13:03:00,2025-04-25 13:23:00,20.0,short,166.46,167.09,-0.38%
2025-04-28 10:02:00,2025-04-28 10:01:00,-1.0,short,162.18,162.16,0.01%
2025-04-30 12:10:00,2025-04-30 13:11:00,61.0,short,159.77,160.0,-0.14%
2025-04-30 13:12:00,2025-04-30 13:18:00,6.0,long,160.06,159.94,-0.07%
2025-05-06 10:05:00,2025-05-06 10:43:00,38.0,long,163.05,162.86,-0.12%
2025-05-08 10:36:00,2025-05-08 11:01:00,25.0,short,154.7,154.22,0.31%
2025-05-08 11:03:00,2025-05-08 12:00:00,57.0,long,154.24,154.79,0.36%
2025-05-08 14:02:00,2025-05-08 14:16:00,14.0,long,154.48,154.64,0.10%
2025-05-12 12:03:00,2025-05-12 12:20:00,17.0,long,158.25,158.26,0.01%
2025-05-13 13:04:00,2025-05-13 13:33:00,29.0,short,157.8,158.01,-0.13%
2025-05-15 10:28:00,2025-05-15 11:00:00,32.0,short,164.01,163.48,0.32%
2025-05-20 15:02:00,2025-05-20 16:00:00,58.0,long,167.14,166.44,-0.42%
2025-05-21 13:13:00,2025-05-21 14:00:00,47.0,long,164.78,164.53,-0.15%
2025-05-21 15:18:00,2025-05-21 15:59:00,41.0,long,164.21,167.86,2.22%
2025-05-22 11:53:00,2025-05-22 12:30:00,37.0,long,170.71,170.84,0.08%
2025-05-27 10:00:00,2025-05-27 10:59:00,59.0,short,171.35,172.28,-0.54%
2025-06-05 15:14:00,2025-06-05 15:20:00,6.0,long,170.87,170.79,-0.05%
2025-06-06 13:03:00,2025-06-06 14:00:00,57.0,short,169.34,169.55,-0.12%
2025-06-10 15:00:00,2025-06-10 15:57:00,57.0,short,176.3,178.85,-1.45%
2025-06-13 11:04:00,2025-06-13 11:01:00,-3.0,long,172.57,172.4,-0.10%
