ticker,sector,total_return_pct,win_rate,total_trades,api_fetched,valid_news,news_conversion_rate,sharpe_ratio,max_drawdown_pct
AAPL,Technology,-49.36826875201276,0.2488262910798122,213,3326,2166,9.83,-5.1131265032755655,-39.903539495228
MSFT,Technology,-21.137931404297458,0.2661870503597122,139,2150,1349,10.3,-4.676376118373252,-19.25603955185096
AMZN,Technology,-29.843057681983495,0.3776223776223776,143,2063,1304,10.97,-4.567661972605084,-27.978881809329927
GOOGL,Technology,-39.336148803876256,0.3080357142857143,224,3910,2467,9.08,-4.535368934279808,-32.83335947588059
META,Technology,-33.814218049156345,0.3178807947019867,151,2214,1463,10.32,-4.2623061412627825,-29.58978303501704
NVDA,Technology,-50.48595049097736,0.2913043478260869,230,1975,1477,15.57,-4.390021202929078,-41.42296015430926
TSLA,Technology,-74.74230959574207,0.3404255319148936,329,3818,3160,10.41,-3.166604709732049,-56.164197082884
ORCL,Technology,2.391195555003182,0.3703703703703703,27,267,189,14.29,1.0008801632460524,-5.830157983120698
CRM,Technology,-5.125405179427505,0.375,24,238,175,13.71,-3.2237213139887713,-7.640597749968836
ADBE,Technology,-3.8819380826947194,0.5263157894736842,19,168,112,16.96,-3.459595940545331,-5.2298400801703915
NFLX,Technology,-9.867906684307684,0.3421052631578947,38,706,555,6.85,-6.500889089631812,-11.557140888038152
INTC,Technology,1.6098191173423022,0.4629629629629629,54,577,382,14.14,0.328794906626936,-5.979580527913339
IBM,Technology,-4.417871708617864,0.32,25,348,227,11.01,-5.504322216470556,-5.068841909327173
AMD,Technology,-3.803114751760141,0.4166666666666667,36,345,241,14.94,-1.793765584084751,-7.6821116772121725
QCOM,Technology,0.7836591216952976,0.3684210526315789,19,167,117,16.24,1.1374733311834275,-1.4808064968586088
JPM,Financial Services,-27.196872467416014,0.2461538461538461,65,728,668,9.73,-8.570714552043643,-24.052202116955105
BAC,Financial Services,-6.990180604439264,0.3829787234042553,47,424,387,12.14,-3.791646820843906,-7.35273720279875
C,Financial Services,-4.572202853437967,0.4444444444444444,36,365,353,10.2,-3.176215471619941,-5.557028026948937
WFC,Financial Services,-6.2036087038899925,0.4347826086956521,23,224,208,11.06,-3.4784357400439094,-10.260952057913766
USB,Financial Services,-1.716526977523643,0.2857142857142857,7,26,24,29.17,-4.2115202746410825,-2.2746396286342567
PNC,Financial Services,-0.6354615384615429,0.0,1,14,14,7.14,0.0,0.0
AXP,Financial Services,-4.846021927202262,0.4444444444444444,9,66,61,14.75,-6.865189601275151,-4.669380442046321
V,Financial Services,-3.508397495577623,0.2352941176470588,17,112,104,16.35,-7.42366622108504,-4.076939577416323
MA,Financial Services,-4.915217753747405,0.1818181818181818,11,84,81,13.58,-15.384130735874209,-4.139028068452831
GS,Financial Services,-20.34918869817814,0.2698412698412698,63,543,509,12.38,-6.139818710026267,-20.024610089423938
MS,Financial Services,-22.02926682517262,0.3181818181818182,44,347,322,13.66,-8.350405310589554,-21.15628600985852
BLK,Financial Services,-12.690188501880378,0.3333333333333333,48,394,359,13.37,-5.968203121679791,-12.43477481340555
COF,Financial Services,-1.561695670421101,0.4666666666666667,15,96,87,17.24,-1.8866274061207495,-4.78045168174096
BK,Financial Services,-1.557436808236409,0.0,2,29,28,7.14,-110.15158344851474,-0.6664933135215392
JNJ,Healthcare,-2.49310904857906,0.3888888888888889,18,158,126,14.29,-2.598638745388077,-4.164263960605276
PFE,Healthcare,-4.293410467088423,0.32,25,180,151,16.56,-4.032284160564529,-5.894469246427253
UNH,Healthcare,16.556006334752297,0.4411764705882353,34,223,196,17.35,3.001759847835466,-6.139320678780027
MRK,Healthcare,-2.865521661082289,0.3142857142857143,35,151,123,28.46,-1.6580157422226254,-6.053366802539526
ABBV,Healthcare,-0.3120273998086933,0.5,10,84,52,19.23,-0.4743644562263701,-3.242811054452178
LLY,Healthcare,-33.6616685792661,0.2045454545454545,44,269,203,21.67,-5.8848809329290805,-28.58052074973444
TMO,Healthcare,-6.719130658219215,0.0,4,21,19,21.05,-24.36274384435382,-5.405624226594088
AMGN,Healthcare,-3.0312131331280128,0.125,8,69,54,14.81,-7.6246393095208225,-3.4778674338529636
BMY,Healthcare,-5.505241464204881,0.3636363636363636,11,76,58,18.97,-8.600159718401729,-5.47052874337875
GILD,Healthcare,0.8465181259018462,0.5,4,53,40,10.0,6.8786179954696065,-0.5255772769680304
REGN,Healthcare,2.994837382206929,0.5714285714285714,14,80,56,25.0,2.6888695070244935,-5.448741554143491
ABT,Healthcare,4.200503671734281,0.5714285714285714,7,50,45,15.56,6.54185336179966,-0.3996000000000052
BIIB,Healthcare,-0.4704986031982135,0.3333333333333333,6,27,17,35.29,-1.744524379869138,-1.190265297246046
MRNA,Healthcare,-0.9252879480449074,0.3,10,80,63,15.87,-2.2123270317275012,-2.75015975535609
DHR,Healthcare,-1.5418282749088763,0.5,6,21,20,30.0,-3.696829561377689,-2.7123960491145125
PG,Consumer Staples,-2.962221646237927,0.2857142857142857,7,40,35,20.0,-7.645512602755729,-3.529676031954349
KO,Consumer Staples,-3.1950588014604246,0.0833333333333333,12,71,62,19.35,-14.815593131790315,-2.7358616414766423
PEP,Consumer Staples,-0.908321411702146,0.3333333333333333,15,82,75,20.0,-1.7115240421226576,-2.9167727531210703
COST,Consumer Staples,-5.302305684149757,0.1538461538461538,13,184,118,11.02,-12.975503119462124,-4.8795473169006405
MDLZ,Consumer Staples,-0.3466733637276854,0.0,1,17,16,6.25,0.0,0.0
GIS,Consumer Staples,-1.1419918729478362,0.3333333333333333,3,25,20,15.0,-7.417071582254522,-1.154986990459684
CL,Consumer Staples,-4.388790288793569,0.0,5,13,12,41.67,-38.083244374407414,-3.0829929946673476
KR,Consumer Staples,-4.960328682465297,0.4,15,64,55,27.27,-5.96765791250388,-7.017820156702932
STZ,Consumer Staples,-0.252469690311514,0.6666666666666666,3,37,33,9.09,-6.682755415197736,-0.3617813765182146
MO,Consumer Staples,-1.0036638957835848,0.3333333333333333,3,14,13,23.08,-10.047637470459035,-1.2888594177916868
PM,Consumer Staples,-4.264951223702234,0.375,8,24,23,34.78,-6.963205287957863,-4.259429755522802
SJM,Consumer Staples,5.102274328641115,1.0,2,10,7,28.57,34.551054877894785,0.0
EL,Consumer Staples,1.8006359098513598,0.5,4,11,10,40.0,3.0418270177194064,-3.529776402795514
