Entry Time,Exit Time,Duration (min),Direction,Entry Price,Exit Price,Return (%)
2025-03-06 13:25:00,2025-03-06 14:07:00,42.0,long,651.33,647.0082,-0.66%
2025-03-19 10:50:00,2025-03-19 11:02:00,12.0,long,582.36,582.43,0.01%
2025-03-19 11:03:00,2025-03-19 11:48:00,45.0,short,582.45,583.6,-0.20%
2025-03-19 11:48:00,2025-03-19 12:10:00,22.0,long,583.6,583.0,-0.10%
2025-03-20 12:28:00,2025-03-20 13:01:00,33.0,short,582.75,583.15,-0.07%
2025-03-27 11:05:00,2025-03-27 11:18:00,13.0,short,609.58,609.29,0.05%
2025-03-27 11:18:00,2025-03-27 11:46:00,28.0,long,609.29,608.6,-0.11%
2025-03-28 12:56:00,2025-03-28 13:46:00,50.0,short,602.25,598.75,0.58%
2025-04-02 13:50:00,2025-04-02 14:01:00,11.0,short,578.7,576.6079,0.36%
2025-04-04 15:18:00,2025-04-04 15:36:00,18.0,short,511.49,509.1,0.47%
2025-04-07 10:32:00,2025-04-07 11:33:00,61.0,long,482.11,484.38,0.47%
2025-04-07 11:33:00,2025-04-07 11:46:00,13.0,short,484.38,484.55,-0.04%
2025-04-09 14:49:00,2025-04-09 15:00:00,11.0,long,505.31,507.25,0.38%
2025-04-10 13:05:00,2025-04-10 13:05:00,0.0,long,572.6,572.6,0.00%
2025-04-10 14:38:00,2025-04-10 14:59:00,21.0,short,574.0,572.9,0.19%
2025-04-10 14:59:00,2025-04-10 15:11:00,12.0,long,572.9,573.9,0.17%
2025-04-17 13:03:00,2025-04-17 13:33:00,30.0,short,506.5,506.0,0.10%
2025-04-21 10:00:00,2025-04-21 10:00:00,0.0,short,498.0,498.0,-0.00%
2025-04-21 10:00:00,2025-04-21 10:00:00,0.0,long,498.0,498.0,0.00%
2025-04-23 12:41:00,2025-04-23 12:57:00,16.0,short,522.3,523.88,-0.30%
2025-04-23 13:00:00,2025-04-23 13:01:00,1.0,long,523.53,524.26,0.14%
2025-04-29 10:04:00,2025-04-29 11:10:00,66.0,long,552.39,552.17,-0.04%
2025-04-29 12:46:00,2025-04-29 13:16:00,30.0,short,548.67,548.5,0.03%
2025-04-30 12:59:00,2025-04-30 13:31:00,32.0,long,549.39,549.1,-0.05%
2025-05-01 11:02:00,2025-05-01 11:10:00,8.0,short,582.5,582.63,-0.02%
2025-05-01 12:46:00,2025-05-01 12:56:00,10.0,short,580.1,582.17,-0.36%
2025-05-01 12:58:00,2025-05-01 13:04:00,6.0,long,581.83,582.95,0.19%
2025-05-01 13:06:00,2025-05-01 13:11:00,5.0,short,583.9,583.8,0.02%
2025-05-01 14:33:00,2025-05-01 15:27:00,54.0,short,585.55,590.5811,-0.86%
2025-05-02 10:20:00,2025-05-02 10:22:00,2.0,short,578.88,578.83,0.01%
2025-06-03 13:23:00,2025-06-03 14:01:00,38.0,long,671.65,671.2,-0.07%
2025-06-10 13:08:00,2025-06-10 13:08:00,0.0,long,698.5,698.5,0.00%
2025-06-13 10:48:00,2025-06-13 11:04:00,16.0,short,680.7,680.87,-0.02%
