Entry Time,Exit Time,Duration (min),Direction,Entry Price,Exit Price,Return (%)
2025-03-05 15:07:00,2025-03-05 15:35:00,28.0,short,389.15,391.47,-0.60%
2025-03-19 12:50:00,2025-03-19 13:06:00,16.0,short,384.6,384.77,-0.04%
2025-03-19 13:10:00,2025-03-19 13:45:00,35.0,long,384.82,384.4,-0.11%
2025-03-19 13:45:00,2025-03-19 13:56:00,11.0,short,384.4,384.2,0.05%
2025-03-24 14:02:00,2025-03-24 15:02:00,60.0,long,396.21,392.1,-1.04%
2025-03-26 11:13:00,2025-03-26 12:24:00,71.0,long,394.46,394.8,0.09%
2025-04-09 10:09:00,2025-04-09 11:01:00,52.0,long,354.54,356.2,0.47%
2025-04-14 13:00:00,2025-04-14 13:35:00,35.0,short,392.0,391.65,0.09%
2025-04-16 12:41:00,2025-04-16 13:21:00,40.0,short,383.03,382.2,0.22%
2025-04-16 13:21:00,2025-04-16 13:45:00,24.0,long,382.2,382.99,0.21%
2025-04-28 13:49:00,2025-04-28 14:01:00,12.0,long,391.25,391.45,0.05%
2025-04-29 15:49:00,2025-04-29 16:00:00,11.0,long,393.595,393.54,-0.01%
2025-05-01 10:54:00,2025-05-01 11:01:00,7.0,short,427.81,427.75,0.01%
2025-05-01 13:52:00,2025-05-01 14:24:00,32.0,short,431.78,429.64,0.50%
2025-05-01 14:26:00,2025-05-01 15:08:00,42.0,long,429.9,429.67,-0.05%
2025-05-01 15:10:00,2025-05-01 15:27:00,17.0,short,429.6,431.4,-0.42%
2025-05-06 14:02:00,2025-05-06 15:00:00,58.0,short,432.81,433.45,-0.15%
2025-05-06 15:02:00,2025-05-06 15:01:00,-1.0,long,433.15,433.3401,0.04%
2025-05-06 15:04:00,2025-05-06 15:16:00,12.0,short,433.3,432.35,0.22%
2025-05-13 12:41:00,2025-05-13 13:34:00,53.0,long,447.0,447.55,0.12%
2025-05-16 11:34:00,2025-05-16 12:45:00,71.0,long,452.61,453.1,0.11%
2025-05-16 12:45:00,2025-05-16 13:00:00,15.0,short,453.1,452.98,0.03%
2025-05-20 15:06:00,2025-05-20 15:44:00,38.0,short,457.67,455.57,0.46%
2025-05-22 12:56:00,2025-05-22 12:56:00,0.0,long,452.99,452.99,0.00%
2025-05-30 13:49:00,2025-05-30 14:21:00,32.0,short,458.63,458.05,0.13%
2025-05-30 14:21:00,2025-05-30 15:14:00,53.0,long,458.05,458.65,0.13%
