Entry Time,Exit Time,Duration (min),Direction,Entry Price,Exit Price,Return (%)
2025-03-05 10:54:00,2025-03-05 11:06:00,12.0,short,118.38,118.41,-0.03%
2025-03-10 11:46:00,2025-03-10 12:31:00,45.0,short,109.8,110.66,-0.78%
2025-03-10 12:33:00,2025-03-10 13:16:00,43.0,long,110.61,109.95,-0.60%
2025-03-11 13:32:00,2025-03-11 14:21:00,49.0,short,106.9,107.39,-0.46%
2025-03-14 14:08:00,2025-03-14 15:04:00,56.0,short,119.14,119.51,-0.31%
2025-03-17 11:40:00,2025-03-17 11:58:00,18.0,long,122.73,122.62,-0.09%
2025-03-19 09:58:00,2025-03-19 10:36:00,38.0,short,115.93,116.74,-0.70%
2025-03-19 10:38:00,2025-03-19 11:17:00,39.0,long,116.73,116.91,0.15%
2025-03-19 11:19:00,2025-03-19 11:27:00,8.0,short,117.18,116.8,0.32%
2025-03-19 14:40:00,2025-03-19 15:34:00,54.0,long,116.6232,117.2,0.49%
2025-03-19 15:36:00,2025-03-19 15:49:00,13.0,short,116.865,116.615,0.21%
2025-03-20 09:59:00,2025-03-20 10:54:00,55.0,short,119.25,117.82,1.20%
2025-03-20 12:14:00,2025-03-20 12:45:00,31.0,long,116.58,116.93,0.30%
2025-03-20 12:47:00,2025-03-20 12:52:00,5.0,short,117.0,117.37,-0.32%
2025-03-20 12:54:00,2025-03-20 13:01:00,7.0,long,117.32,117.18,-0.12%
2025-03-21 11:57:00,2025-03-21 11:56:00,-1.0,short,117.35,117.38,-0.03%
2025-03-21 15:16:00,2025-03-21 15:41:00,25.0,short,115.88,116.29,-0.35%
2025-03-25 10:09:00,2025-03-25 10:22:00,13.0,long,120.18,120.17,-0.01%
2025-03-25 12:13:00,2025-03-25 13:12:00,59.0,long,120.84,120.5505,-0.24%
2025-03-26 10:02:00,2025-03-26 10:01:00,-1.0,short,119.84,119.84,-0.00%
2025-03-26 10:03:00,2025-03-26 10:21:00,18.0,long,119.88,119.71,-0.14%
2025-03-26 14:59:00,2025-03-26 15:01:00,2.0,short,116.43,116.7501,-0.27%
2025-03-27 13:02:00,2025-03-27 13:06:00,4.0,long,112.0,111.8699,-0.12%
2025-03-27 13:08:00,2025-03-27 13:37:00,29.0,short,111.81,112.0,-0.17%
2025-03-27 13:39:00,2025-03-27 13:43:00,4.0,long,112.001,111.9731,-0.02%
2025-04-09 13:32:00,2025-04-09 14:02:00,30.0,short,96.29,95.67,0.64%
2025-04-16 12:29:00,2025-04-16 13:01:00,32.0,short,105.8,105.13,0.63%
2025-04-16 13:03:00,2025-04-16 13:06:00,3.0,long,105.14,104.74,-0.38%
2025-04-17 10:00:00,2025-04-17 10:00:00,0.0,long,105.95,105.95,0.00%
2025-04-17 10:00:00,2025-04-17 10:46:00,46.0,short,105.95,105.49,0.43%
2025-04-17 10:48:00,2025-04-17 10:56:00,8.0,long,105.51,105.43,-0.08%
2025-04-25 13:40:00,2025-04-25 13:41:00,1.0,short,106.65,106.67,-0.02%
2025-04-25 13:43:00,2025-04-25 13:41:00,-2.0,long,106.68,106.67,-0.01%
2025-05-07 11:50:00,2025-05-07 12:06:00,16.0,short,114.01,113.94,0.06%
2025-05-14 13:42:00,2025-05-14 13:54:00,12.0,short,133.84,133.82,0.01%
2025-05-14 13:56:00,2025-05-14 14:11:00,15.0,long,133.83,133.99,0.12%
2025-05-14 14:13:00,2025-05-14 14:34:00,21.0,short,134.02,133.83,0.14%
2025-05-19 11:10:00,2025-05-19 11:16:00,6.0,long,130.42,130.64,0.17%
2025-05-19 11:18:00,2025-05-19 12:05:00,47.0,short,130.58,130.71,-0.10%
2025-05-19 12:07:00,2025-05-19 12:12:00,5.0,long,130.72,130.86,0.11%
2025-05-19 12:14:00,2025-05-19 12:16:00,2.0,short,130.93,131.0,-0.05%
2025-05-20 12:33:00,2025-05-20 13:17:00,44.0,long,135.22,135.34,0.09%
2025-05-20 13:19:00,2025-05-20 13:31:00,12.0,short,135.28,135.21,0.05%
2025-05-21 11:16:00,2025-05-21 12:11:00,55.0,long,133.21,132.95,-0.20%
2025-05-21 12:13:00,2025-05-21 13:01:00,48.0,short,132.96,133.16,-0.15%
2025-05-21 15:00:00,2025-05-21 15:49:00,49.0,short,133.3295,134.4752,-0.86%
2025-05-21 15:51:00,2025-05-21 16:00:00,9.0,long,134.625,134.3495,-0.20%
2025-05-27 15:33:00,2025-05-27 15:49:00,16.0,short,133.71,134.1101,-0.30%
2025-05-28 11:38:00,2025-05-28 11:41:00,3.0,short,135.67,135.68,-0.01%
2025-05-28 13:12:00,2025-05-28 13:51:00,39.0,long,136.379,136.25,-0.09%
2025-05-28 15:03:00,2025-05-28 15:39:00,36.0,short,136.41,135.5901,0.60%
2025-05-29 11:03:00,2025-05-29 11:11:00,8.0,short,141.76,141.92,-0.11%
2025-05-29 11:13:00,2025-05-29 12:11:00,58.0,long,141.99,143.4,0.99%
2025-05-29 12:13:00,2025-05-29 12:50:00,37.0,short,143.65,142.92,0.51%
2025-05-29 15:07:00,2025-05-29 15:56:00,49.0,long,142.2701,141.985,-0.20%
2025-05-30 11:03:00,2025-05-30 11:31:00,28.0,long,138.25,138.31,0.04%
2025-05-30 11:33:00,2025-05-30 11:33:00,0.0,short,138.3,138.3,-0.00%
2025-06-03 15:02:00,2025-06-03 15:51:00,49.0,short,138.2,139.385,-0.86%
2025-06-09 15:02:00,2025-06-09 15:45:00,43.0,short,143.36,143.355,0.00%
2025-06-17 13:22:00,2025-06-17 14:03:00,41.0,short,144.82,144.8901,-0.05%
2025-06-17 14:05:00,2025-06-17 14:48:00,43.0,long,144.87,145.03,0.11%
