Entry Time,Exit Time,Duration (min),Direction,Entry Price,Exit Price,Return (%)
2025-03-06 10:00:00,2025-03-06 10:50:00,50.0,long,275.24,273.59,-0.60%
2025-03-07 11:02:00,2025-03-07 11:13:00,11.0,short,262.77,262.67,0.04%
2025-03-07 11:15:00,2025-03-07 11:42:00,27.0,long,262.51,262.81,0.11%
2025-03-07 15:43:00,2025-03-07 15:52:00,9.0,short,263.87,264.91,-0.39%
2025-03-10 10:17:00,2025-03-10 10:34:00,17.0,long,255.03,255.84,0.32%
2025-03-11 12:09:00,2025-03-11 12:15:00,6.0,short,225.11,225.43,-0.14%
2025-03-11 12:17:00,2025-03-11 12:43:00,26.0,long,226.3,228.1,0.80%
2025-03-11 12:45:00,2025-03-11 13:07:00,22.0,short,228.1,227.0,0.48%
2025-03-11 13:09:00,2025-03-11 13:25:00,16.0,long,226.6601,225.11,-0.68%
2025-03-11 13:27:00,2025-03-11 13:55:00,28.0,short,224.37,222.47,0.85%
2025-03-11 13:57:00,2025-03-11 14:31:00,34.0,long,222.6958,224.8946,0.99%
2025-03-11 14:53:00,2025-03-11 15:22:00,29.0,short,234.1301,228.76,2.29%
2025-03-12 10:02:00,2025-03-12 10:31:00,29.0,short,238.44,237.7,0.31%
2025-03-12 10:33:00,2025-03-12 11:01:00,28.0,long,238.26,238.26,0.00%
2025-03-12 15:37:00,2025-03-12 15:41:00,4.0,short,244.215,243.55,0.27%
2025-03-12 15:43:00,2025-03-12 15:52:00,9.0,long,244.39,245.1095,0.29%
2025-03-17 12:51:00,2025-03-17 13:06:00,15.0,short,247.45,247.1896,0.11%
2025-03-18 10:23:00,2025-03-18 10:36:00,13.0,long,236.88,236.71,-0.07%
2025-03-19 12:19:00,2025-03-19 12:46:00,27.0,short,232.23,232.07,0.07%
2025-03-19 12:48:00,2025-03-19 13:03:00,15.0,long,232.6,232.42,-0.08%
2025-03-19 13:05:00,2025-03-19 13:54:00,49.0,short,232.2002,232.28,-0.03%
2025-03-19 15:02:00,2025-03-19 15:35:00,33.0,long,231.13,231.17,0.02%
2025-03-20 15:16:00,2025-03-20 15:29:00,13.0,short,236.11,236.7151,-0.26%
2025-03-20 15:31:00,2025-03-20 15:41:00,10.0,long,236.11,235.96,-0.06%
2025-03-21 10:02:00,2025-03-21 10:04:00,2.0,short,234.07,233.75,0.14%
2025-03-21 10:06:00,2025-03-21 11:00:00,54.0,long,233.82,234.71,0.38%
2025-03-21 14:35:00,2025-03-21 14:56:00,21.0,short,239.8101,243.08,-1.36%
2025-03-24 11:52:00,2025-03-24 12:49:00,57.0,long,258.59,258.5,-0.03%
2025-03-24 12:51:00,2025-03-24 13:29:00,38.0,short,258.26,258.69,-0.17%
2025-03-24 15:46:00,2025-03-24 15:45:00,-1.0,long,272.07,271.3368,-0.27%
2025-03-25 14:09:00,2025-03-25 14:25:00,16.0,short,282.6,283.65,-0.37%
2025-03-25 14:39:00,2025-03-25 14:38:00,-1.0,short,276.36,275.72,0.23%
2025-03-25 14:40:00,2025-03-25 14:47:00,7.0,long,276.87,273.725,-1.14%
2025-03-26 11:30:00,2025-03-26 12:11:00,41.0,short,283.98,284.96,-0.35%
2025-03-26 15:01:00,2025-03-26 15:55:00,54.0,short,279.89,278.08,0.65%
2025-04-02 14:15:00,2025-04-02 15:08:00,53.0,short,260.99,257.5,1.34%
2025-04-02 15:10:00,2025-04-02 15:08:00,-2.0,long,258.12,257.5,-0.24%
2025-04-09 14:03:00,2025-04-09 14:45:00,42.0,short,232.27,221.49,4.64%
2025-04-09 14:47:00,2025-04-09 15:04:00,17.0,long,221.93,224.23,1.04%
2025-04-14 10:32:00,2025-04-14 11:16:00,44.0,short,254.12,256.18,-0.81%
2025-04-15 11:05:00,2025-04-15 11:51:00,46.0,short,253.12,252.72,0.16%
2025-04-15 11:53:00,2025-04-15 12:52:00,59.0,long,252.69,252.0,-0.27%
2025-04-22 15:03:00,2025-04-22 15:32:00,29.0,long,230.71,232.8,0.91%
2025-04-23 11:03:00,2025-04-23 11:17:00,14.0,short,252.5,252.89,-0.15%
2025-04-23 11:19:00,2025-04-23 11:30:00,11.0,long,253.39,253.43,0.02%
2025-04-23 12:44:00,2025-04-23 12:48:00,4.0,short,253.25,253.47,-0.09%
2025-04-23 14:24:00,2025-04-23 14:45:00,21.0,short,254.33,256.18,-0.73%
2025-04-23 14:47:00,2025-04-23 14:47:00,0.0,long,256.01,256.01,0.00%
2025-04-23 14:49:00,2025-04-23 15:34:00,45.0,short,256.4296,250.27,2.40%
2025-04-24 10:23:00,2025-04-24 10:22:00,-1.0,short,246.72,246.5,0.09%
2025-04-24 10:24:00,2025-04-24 10:25:00,1.0,long,246.69,246.3,-0.16%
2025-04-24 10:27:00,2025-04-24 10:56:00,29.0,short,245.8,245.69,0.04%
2025-04-24 10:58:00,2025-04-24 11:09:00,11.0,long,245.5,246.3,0.33%
2025-04-28 10:03:00,2025-04-28 10:27:00,24.0,short,287.0,287.0,-0.00%
2025-04-28 10:29:00,2025-04-28 11:00:00,31.0,long,287.67,291.63,1.38%
2025-05-01 10:00:00,2025-05-01 10:00:00,0.0,short,283.15,283.15,-0.00%
2025-05-01 10:00:00,2025-05-01 10:06:00,6.0,long,283.15,282.5,-0.23%
2025-05-01 10:08:00,2025-05-01 10:13:00,5.0,short,279.96,280.84,-0.31%
2025-05-01 10:15:00,2025-05-01 10:39:00,24.0,long,281.49,282.36,0.31%
2025-05-01 10:41:00,2025-05-01 10:51:00,10.0,short,282.35,283.25,-0.32%
2025-05-01 10:53:00,2025-05-01 11:00:00,7.0,long,283.46,282.92,-0.19%
2025-05-01 11:02:00,2025-05-01 11:47:00,45.0,short,283.0,283.9,-0.32%
2025-05-01 14:28:00,2025-05-01 15:00:00,32.0,short,283.7075,281.95,0.62%
2025-05-07 11:01:00,2025-05-07 11:00:00,-1.0,short,279.35,279.18,0.06%
2025-05-07 11:02:00,2025-05-07 11:12:00,10.0,long,279.3,279.02,-0.10%
2025-05-08 11:40:00,2025-05-08 12:12:00,32.0,short,280.92,280.77,0.05%
2025-05-13 11:57:00,2025-05-13 12:31:00,34.0,long,314.8,314.87,0.02%
2025-05-13 12:33:00,2025-05-13 13:06:00,33.0,short,314.91,316.0,-0.35%
2025-05-14 13:56:00,2025-05-14 14:05:00,9.0,long,343.5,343.58,0.02%
2025-05-14 14:07:00,2025-05-14 14:54:00,47.0,short,344.12,343.65,0.14%
2025-05-20 11:02:00,2025-05-20 11:00:00,-2.0,short,343.6,343.9,-0.09%
2025-05-20 11:02:00,2025-05-20 11:30:00,28.0,long,343.6,343.81,0.06%
2025-05-21 14:23:00,2025-05-21 15:16:00,53.0,long,345.64,344.6986,-0.27%
2025-05-22 12:17:00,2025-05-22 12:31:00,14.0,short,335.85,335.77,0.02%
2025-05-23 15:12:00,2025-05-23 15:36:00,24.0,short,336.85,336.57,0.08%
2025-05-23 15:38:00,2025-05-23 15:54:00,16.0,long,337.47,335.26,-0.65%
2025-05-27 10:00:00,2025-05-27 10:29:00,29.0,long,346.5,348.8,0.66%
2025-05-27 10:31:00,2025-05-27 11:21:00,50.0,short,348.61,348.38,0.07%
2025-05-27 11:23:00,2025-05-27 11:30:00,7.0,long,348.3,348.21,-0.03%
2025-05-27 11:32:00,2025-05-27 11:33:00,1.0,short,348.16,348.5,-0.10%
2025-05-27 11:35:00,2025-05-27 12:11:00,36.0,long,348.56,348.27,-0.08%
2025-05-28 14:42:00,2025-05-28 15:14:00,32.0,short,366.2,365.49,0.19%
2025-06-02 15:45:00,2025-06-02 15:49:00,4.0,short,346.2,343.7899,0.70%
2025-06-04 12:03:00,2025-06-04 12:30:00,27.0,short,347.11,346.27,0.24%
2025-06-04 12:32:00,2025-06-04 12:38:00,6.0,long,346.17,346.74,0.16%
2025-06-05 11:02:00,2025-06-05 11:01:00,-1.0,long,326.93,327.26,0.10%
2025-06-06 11:13:00,2025-06-06 11:41:00,28.0,short,298.98,299.16,-0.06%
2025-06-06 11:43:00,2025-06-06 12:20:00,37.0,long,299.09,298.8,-0.10%
2025-06-06 12:22:00,2025-06-06 12:46:00,24.0,short,298.74,296.9,0.62%
2025-06-06 12:48:00,2025-06-06 13:01:00,13.0,long,297.48,295.7,-0.60%
2025-06-06 13:03:00,2025-06-06 13:01:00,-2.0,short,295.53,295.7,-0.06%
2025-06-06 13:03:00,2025-06-06 13:11:00,8.0,long,295.53,297.22,0.57%
2025-06-06 13:13:00,2025-06-06 13:24:00,11.0,short,297.84,299.09,-0.42%
2025-06-06 13:26:00,2025-06-06 13:46:00,20.0,long,299.53,296.45,-1.03%
2025-06-06 13:48:00,2025-06-06 14:05:00,17.0,short,297.59,298.89,-0.44%
2025-06-06 14:07:00,2025-06-06 14:18:00,11.0,long,298.6,296.65,-0.65%
2025-06-06 15:38:00,2025-06-06 15:43:00,5.0,short,299.4707,299.57,-0.03%
2025-06-10 10:37:00,2025-06-10 11:30:00,53.0,long,314.99,317.79,0.89%
2025-06-13 10:29:00,2025-06-13 11:00:00,31.0,long,311.25,310.4,-0.27%
